Tên xe,Tên hãng xe,Năm sản xuất,Nơi bán,Giá,Link sản phẩm
Mercedes Benz C class C300 AMG - 2021,Mercedes,2021,1469,Đà Nẵng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-5505549
BMW 3 Series 325i - 2007,BMW,2007,240,TP HCM,https://bonbanh.com/xe-bmw-3_series-325i-2007-5498621
Toyota Prado VX 2.7L - 2017,Toyota,2017,1850,Hà Nội,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2017-5585561
Toyota Camry 2.5Q - 2019,Toyota,2019,870,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2019-5553426
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,902,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5491710
VinFast Lux SA 2.0 2.0 AT - 2021,VinFast,2021,745,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-5391049
Mercedes Benz G class G63 AMG - 2021,Mercedes,2021,9680,Hà Nội,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-5539133
Mitsubishi Mirage 1.2 CVT Eco - 2019,Mitsubishi,2019,330,Hà Nội,https://bonbanh.com/xe-mitsubishi-mirage-1.2-cvt-eco-2019-5591083
Ford Ranger XLS 2.0L 4x2 AT - 2024,Ford,2024,677,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5563021
Lexus RX 350 Premium - 2023,Lexus,2023,3550,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-premium-2023-5511217
Jeep Wrangler Rubicon 2.0 4x4 AT - 2024,Jeep,2024,4088,TP HCM,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2024-5502979
Mercedes Benz S class S450L - 2020,Mercedes,2020,2768,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-5473204
Volkswagen Teramont X Platinum 2.0 AT - 2024,Volkswagen,2024,2168,Hà Nội,https://bonbanh.com/xe-volkswagen-teramont-x-platinum-2.0-at-2024-5460376
Toyota Camry 2.0Q - 2024,Toyota,2024,1170,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.0q-2024-5444646
Ford Ranger Limited 2.0L 4x4 AT - 2021,Ford,2021,695,TP HCM,https://bonbanh.com/xe-ford-ranger-limited-2.0l-4x4-at-2021-5574694
Mercedes Benz GLC 300 4Matic - 2018,Mercedes,2018,1268,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5569813
BMW 7 Series 730Li - 2018,BMW,2018,1990,Hà Nội,https://bonbanh.com/xe-bmw-7_series-730li-2018-5498511
Hyundai Custin Cao Cấp 2.0T - 2023,Hyundai,2023,934,TP HCM,https://bonbanh.com/xe-hyundai-custin-cao-cap-2.0t-2023-5507735
Mercedes Benz S class S450L Luxury - 2020,Mercedes,2020,2980,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2020-5590727
Mazda 6 2.0 AT - 2015,Mazda,2015,429,Hà Nội,https://bonbanh.com/xe-mazda-6-2.0-at-2015-5561926
Lexus RX 300 - 2021,Lexus,2021,2890,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2021-5341880
Bentley Mulsanne Speed - 2015,Bentley,2015,9900,Hà Nội,https://bonbanh.com/xe-bentley-mulsanne-speed-2015-5464043
Mercedes Benz C class C300 AMG - 2022,Mercedes,2022,1889,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5541790
Lexus RX 300 - 2021,Lexus,2021,2789,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2021-5572135
Mazda 3 S 1.6 AT - 2014,Mazda,2014,339,Hà Nội,https://bonbanh.com/xe-mazda-3-s-1.6-at-2014-5578973
Hyundai SantaFe Cao cấp 2.4L HTRAC - 2021,Hyundai,2021,928,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.4l-htrac-2021-5578114
Lexus RX 350 - 2016,Lexus,2016,2350,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-2016-5571670
Hyundai Accent 1.4 AT - 2019,Hyundai,2019,399,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-2019-5570465
Mazda CX5 Premium Exclusive 2.0 AT - 2023,Mazda,2023,920,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-exclusive-2.0-at-2023-5590661
Lexus NX 300 - 2018,Lexus,2018,1690,TP HCM,https://bonbanh.com/xe-lexus-nx-300-2018-5562809
Mercedes Benz C class C180 - 2020,Mercedes,2020,920,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c180-2020-5548347
Toyota Fortuner 2.7L 4x2 AT - 2022,Toyota,2022,1020,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7l-4x2-at-2022-5509027
MG ZS Luxury 1.5 AT 2WD - 2024,MG,2024,500,Hà Nội,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2024-5473829
Mazda 3 1.5 AT - 2018,Mazda,2018,477,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2018-5581038
Lexus IS 250C - 2010,Lexus,2010,920,Hà Nội,https://bonbanh.com/xe-lexus-is-250c-2010-5408640
Kia Sonet Luxury 1.5 AT - 2024,Kia,2024,554,Hà Nội,https://bonbanh.com/xe-kia-sonet-luxury-1.5-at-2024-5499884
Toyota Camry 2.5Q - 2016,Toyota,2016,650,TP HCM,https://bonbanh.com/xe-toyota-camry-2.5q-2016-5594375
LandRover Range Rover Autobiography LWB 5.0 - 2014,LandRover,2014,3399,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-2014-5492967
Toyota Camry 2.4G - 2007,Toyota,2007,279,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.4g-2007-5492821
Hyundai SantaFe Cao cấp 2.2L HTRAC - 2023,Hyundai,2023,1259,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2023-5592809
Mercedes Benz GLC 300 4Matic - 2018,Mercedes,2018,1239,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5559622
Porsche Cayenne 3.0 V6 - 2018,Porsche,2018,3580,Hà Nội,https://bonbanh.com/xe-porsche-cayenne-3.0-v6-2018-5529767
Toyota Vios 1.5G - 2018,Toyota,2018,420,Hải Dương,https://bonbanh.com/xe-toyota-vios-1.5g-2018-5506716
LandRover Range Rover Velar R-Dynamic 2.0 - 2018,LandRover,2018,2799,Hà Nội,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-2.0-2018-5461968
Lexus LM 500h - 2024,Lexus,2024,7290,Hà Nội,https://bonbanh.com/xe-lexus-lm-500h-2024-5569892
Porsche Panamera 4 Executive - 2019,Porsche,2019,4580,Hà Nội,https://bonbanh.com/xe-porsche-panamera-4-executive-2019-5529847
Lamborghini Aventador LP 700-4 - 2015,Lamborghini,2015,18500,Hà Nội,https://bonbanh.com/xe-lamborghini-aventador-lp-700-4-2015-5546025
Honda City 1.5TOP - 2019,Honda,2019,440,TP HCM,https://bonbanh.com/xe-honda-city-1.5top-2019-5568282
MG ZS Comfort 1.5 AT 2WD - 2024,MG,2024,588,Nam Định,https://bonbanh.com/xe-mg-zs-comfort-1.5-at-2wd-2024-5566936
Mercedes Benz A class A45 AMG - 2016,Mercedes,2016,1178,TP HCM,https://bonbanh.com/xe-mercedes_benz-a_class-a45-amg-2016-5572272
Mercedes Benz CLA class CLA 45 AMG 4Matic - 2015,Mercedes,2015,950,TP HCM,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-45-amg-4matic-2015-5572289
Mercedes Benz E class E200 - 2016,Mercedes,2016,899,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2016-5500537
Mercedes Benz C class C300 AMG - 2016,Mercedes,2016,818,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-5590672
Mercedes Benz C class C300 AMG - 2014,Mercedes,2014,499,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2014-5576656
Mercedes Benz G class G63 AMG - 2021,Mercedes,2021,9300,Hà Nội,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-5491153
Hyundai Elantra 1.6 AT - 2016,Hyundai,2016,429,Hải Phòng,https://bonbanh.com/xe-hyundai-elantra-1.6-at-2016-5594369
Porsche Panamera 4 Executive - 2019,Porsche,2019,4580,Hà Nội,https://bonbanh.com/xe-porsche-panamera-4-executive-2019-5524053
Mercedes Benz GLS 450 4Matic - 2024,Mercedes,2024,5069,Hà Nội,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2024-4333786
Toyota Crown Royal Saloon 3.0 AT - 2001,Toyota,2001,1250,Hà Nội,https://bonbanh.com/xe-toyota-crown-royal-saloon-3.0-at-2001-5460981
Toyota Prado VX 2.7L - 2019,Toyota,2019,1998,Hà Nội,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2019-5062127
Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT - 2018,Chevrolet,2018,639,Bắc Ninh,https://bonbanh.com/xe-chevrolet-trailblazer-ltz-2.5l-vgt-4x4-at-2018-5585601
Kia Cerato 1.6 AT Luxury - 2019,Kia,2019,489,Bắc Ninh,https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2019-5585622
Toyota Prado TXL 2.7L - 2014,Toyota,2014,998,Hà Nội,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2014-5222071
Lexus LX 570 - 2008,Lexus,2008,1280,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-2008-5475383
Toyota Land Cruiser VX 4.6 V8 - 2014,Toyota,2014,1890,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-5443047
Toyota Land Cruiser VX.S 5.7 V8 - 2016,Toyota,2016,4450,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-vx.s-5.7-v8-2016-5269968
Toyota Land Cruiser 5.7 V8 - 2013,Toyota,2013,2790,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-5.7-v8-2013-5568144
Mitsubishi Attrage 1.2 MT - 2022,Mitsubishi,2022,320,Hà Nội,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2022-5569869
Peugeot 3008 GT - 2022,Peugeot,2022,895,Hà Nội,https://bonbanh.com/xe-peugeot-3008-gt-2022-5581485
Lexus ES 250 - 2015,Lexus,2015,1200,TP HCM,https://bonbanh.com/xe-lexus-es-250-2015-5578247
Toyota Vios 1.5E - 2016,Toyota,2016,298,Hải Phòng,https://bonbanh.com/xe-toyota-vios-1.5e-2016-5562664
Mercedes Benz GLC 200 4Matic - 2022,Mercedes,2022,1779,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-5461999
Mazda CX5 Luxury 2.0 AT - 2021,Mazda,2021,735,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2021-5434640
Suzuki XL7 1.5 AT - 2021,Suzuki,2021,475,Cần Thơ,https://bonbanh.com/xe-suzuki-xl7-1.5-at-2021-5582536
Porsche Macan 2.0 - 2022,Porsche,2022,3699,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2022-5581270
Toyota Prado TXL 2.7L - 2016,Toyota,2016,1390,Hà Nội,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2016-5563678
Hyundai i10 1.2 AT - 2022,Hyundai,2022,415,Hà Nội,https://bonbanh.com/xe-hyundai-i10-1.2-at-2022-5541375
Mazda CX5 2.5 AT 2WD - 2017,Mazda,2017,598,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-5564972
Mazda CX5 Luxury 2.0 AT - 2021,Mazda,2021,765,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2021-5558884
Mercedes Benz C class C180 AMG - 2020,Mercedes,2020,999,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2020-5498908
Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2022,Hyundai,2022,899,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2022-5574602
Toyota Fortuner 2.4L 4x2 MT - 2022,Toyota,2022,890,Đồng Nai,https://bonbanh.com/xe-toyota-fortuner-2.4l-4x2-mt-2022-5564844
Chevrolet Spark Duo Van 1.2 MT - 2018,Chevrolet,2018,132,Phú Thọ,https://bonbanh.com/xe-chevrolet-spark-duo-van-1.2-mt-2018-5539355
Toyota Fortuner 2.7V 4X2 AT - 2016,Toyota,2016,520,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2016-5527504
BMW X6 xDrive40i M Sport - 2023,BMW,2023,3757,Hà Nội,https://bonbanh.com/xe-bmw-x6-xdrive40i-m-sport-2023-5192160
Honda Brio RS - 2021,Honda,2021,403,Bình Dương,https://bonbanh.com/xe-honda-brio-rs-2021-5587109
VinFast Lux A 2.0 Premium 2.0 AT - 2019,VinFast,2019,600,Hà Nội,https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2019-5524712
Toyota Vios E CVT - 2024,Toyota,2024,468,Hà Nội,https://bonbanh.com/xe-toyota-vios-e-cvt-2024-5499881
Kia Sedona 2.2 DAT Luxury - 2019,Kia,2019,855,Hưng Yên,https://bonbanh.com/xe-kia-sedona-2.2-dat-luxury-2019-5461353
Toyota Vios 1.5G - 2020,Toyota,2020,448,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5g-2020-5592247
Mercedes Benz E class E250 - 2011,Mercedes,2011,415,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2011-5577330
Toyota Camry 2.5Q - 2019,Toyota,2019,839,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2019-5575546
Toyota Fortuner 2.4G 4x2 MT - 2018,Toyota,2018,758,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2018-5550299
Kia Seltos Premium 1.4 AT - 2021,Kia,2021,598,Hà Nội,https://bonbanh.com/xe-kia-seltos-premium-1.4-at-2021-5535926
Kia Cerato 2.0 AT - 2018,Kia,2018,435,Hà Nội,https://bonbanh.com/xe-kia-cerato-2.0-at-2018-5476712
Kia Carnival Luxury 2.2D - 2021,Kia,2021,1080,TP HCM,https://bonbanh.com/xe-kia-carnival-luxury-2.2d-2021-5475953
MG ZS Luxury 1.5 AT 2WD - 2021,MG,2021,485,Hà Nội,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2021-5590243
Hyundai Tucson 1.6 AT Turbo Đặc biệt - 2021,Hyundai,2021,795,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-dac-biet-2021-5574796
Suzuki Swift 1.4 AT - 2016,Suzuki,2016,330,Hà Nội,https://bonbanh.com/xe-suzuki-swift-1.4-at-2016-5567165
Lexus LX 570 - 2020,Lexus,2020,7200,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-2020-5541098
Toyota Vios 1.5G - 2019,Toyota,2019,430,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5g-2019-5592186
Mazda 3 1.5L Luxury - 2021,Mazda,2021,585,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2021-5554472
Ford Ranger Wildtrak 3.2L 4x4 AT - 2017,Ford,2017,548,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2017-5521071
Hyundai i10 Grand 1.0 MT - 2016,Hyundai,2016,228,Hà Nội,https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-2016-5590925
Kia Seltos Luxury 1.4 AT - 2021,Kia,2021,599,Hà Nội,https://bonbanh.com/xe-kia-seltos-luxury-1.4-at-2021-5576502
Toyota Fortuner 2.5G - 2016,Toyota,2016,625,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5587564
Toyota Camry LE 2.4 - 2009,Toyota,2009,416,Hà Nội,https://bonbanh.com/xe-toyota-camry-le-2.4-2009-5484060
Toyota Corolla Cross 1.8V - 2024,Toyota,2024,820,TP HCM,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2024-5534226
Peugeot 3008 GT - 2022,Peugeot,2022,905,TP HCM,https://bonbanh.com/xe-peugeot-3008-gt-2022-5493937
Kia Sedona 3.3 GAT Premium - 2021,Kia,2021,908,Hà Nội,https://bonbanh.com/xe-kia-sedona-3.3-gat-premium-2021-5570228
Mitsubishi Attrage 1.2 CVT - 2022,Mitsubishi,2022,415,Hà Nội,https://bonbanh.com/xe-mitsubishi-attrage-1.2-cvt-2022-5590011
Peugeot 3008 AL - 2021,Peugeot,2021,839,TP HCM,https://bonbanh.com/xe-peugeot-3008-al-2021-5583593
Mazda CX5 Luxury 2.0 AT - 2022,Mazda,2022,780,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5590550
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,515,TP HCM,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5576409
Toyota Camry 2.0E - 2017,Toyota,2017,665,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.0e-2017-5568641
Mazda CX5 2.5 AT 2WD - 2017,Mazda,2017,598,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-5564972
Mazda CX5 Luxury 2.0 AT - 2021,Mazda,2021,765,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2021-5558884
Ford Transit Standard MID - 2014,Ford,2014,340,Hà Nội,https://bonbanh.com/xe-ford-transit-standard-mid-2014-5581940
Ford Ranger XLS 2.2L 4x2 AT - 2019,Ford,2019,545,TP HCM,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2019-5571735
Hyundai Accent 1.4 AT - 2022,Hyundai,2022,455,Hải Dương,https://bonbanh.com/xe-hyundai-accent-1.4-at-2022-5586274
Toyota Vios 1.5G - 2018,Toyota,2018,420,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5g-2018-5557878
VinFast Lux A 2.0 Tiêu chuẩn - 2022,VinFast,2022,635,Hà Nội,https://bonbanh.com/xe-vinfast-lux_a_2.0-tieu-chuan-2022-5528834
LandRover Range Rover HSE 3.0 - 2015,LandRover,2015,2950,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-5574554
VinFast VF6 Base - 2024,VinFast,2024,675,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf6-base-2024-5411513
Toyota Wigo 1.2G MT - 2020,Toyota,2020,246,TP HCM,https://bonbanh.com/xe-toyota-wigo-1.2g-mt-2020-5578321
Kia Frontier - 2019,Kia,2019,335,Hà Nội,https://bonbanh.com/xe-kia-frontier--2019-5555014
VinFast VF e34 AT - 2024,VinFast,2024,710,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf-e34-at-2024-5411500
VinFast VF7 Eco - 2024,VinFast,2024,850,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf7-eco-2024-5411549
Hyundai Creta Đặc biệt 1.5 AT - 2024,Hyundai,2024,625,Hà Nội,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-5166289
VinFast VF e34 AT - 2024,VinFast,2024,710,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf-e34-at-2024-5411495
VinFast VF6 Base - 2024,VinFast,2024,675,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf6-base-2024-5411507
VinFast VF5 Plus - 2024,VinFast,2024,468,Đà Nẵng,https://bonbanh.com/xe-vinfast-vf5-plus-2024-5411353
Lexus NX 200t - 2014,Lexus,2014,1120,Hà Nội,https://bonbanh.com/xe-lexus-nx-200t-2014-5591390
Ford EcoSport Titanium 1.5L AT - 2017,Ford,2017,370,TP HCM,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-5594360
Toyota Land Cruiser VX 4.6 V8 - 2016,Toyota,2016,3050,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2016-5591874
Ford Everest Titanium 2.0L 4x2 AT - 2022,Ford,2022,1245,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-5577130
LandRover Range Rover Evoque Dynamic - 2012,LandRover,2012,635,Hà Nội,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2012-5575497
Hyundai Elantra N-Line 1.6 Turbo AT - 2022,Hyundai,2022,725,Long An,https://bonbanh.com/xe-hyundai-elantra-n-line-1.6-turbo-at-2022-5540203
Hyundai SantaFe Premium 2.2L HTRAC - 2019,Hyundai,2019,880,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2019-5538719
Ford Tourneo Titanium 2.0 AT - 2019,Ford,2019,665,Hà Nội,https://bonbanh.com/xe-ford-tourneo-titanium-2.0-at-2019-5530487
Toyota Camry 2.0E - 2019,Toyota,2019,705,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.0e-2019-5460496
Ford Ranger XLS 2.0L 4x2 AT - 2024,Ford,2024,605,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5194417
Mazda 3 S 1.6 AT - 2013,Mazda,2013,325,Hà Nội,https://bonbanh.com/xe-mazda-3-s-1.6-at-2013-5574830
Toyota Yaris 1.3 AT - 2009,Toyota,2009,265,Hà Nội,https://bonbanh.com/xe-toyota-yaris-1.3-at-2009-5577719
Mercedes Benz GLC 200 - 2022,Mercedes,2022,1498,TP HCM,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-5575691
Lexus LX 570 - 2020,Lexus,2020,7250,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-2020-5555572
Toyota Hilux 2.8L 4x4 AT - 2021,Toyota,2021,865,Hà Nội,https://bonbanh.com/xe-toyota-hilux-2.8l-4x4-at-2021-5553081
Porsche Panamera 2.9 V6 - 2020,Porsche,2020,4379,TP HCM,https://bonbanh.com/xe-porsche-panamera-2.9-v6-2020-5538583
Ford Everest Titanium 2.0L 4x4 AT - 2021,Ford,2021,1035,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2021-5490803
Mitsubishi Attrage 1.2 MT - 2020,Mitsubishi,2020,295,Hà Giang,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2020-5474771
VinFast VF5 Plus - 2024,VinFast,2024,449,Hà Nội,https://bonbanh.com/xe-vinfast-vf5-plus-2024-5468062
Porsche Macan 2.0 - 2020,Porsche,2020,2738,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5593295
Ford Ranger XLS 2.0L 4x2 AT - 2024,Ford,2024,605,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5575768
Ford Ranger XLS 2.0L 4x4 AT - 2022,Ford,2022,698,TP HCM,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x4-at-2022-5592618
Lexus LX 600 F-Sport - 2023,Lexus,2023,9250,Hà Nội,https://bonbanh.com/xe-lexus-lx-600-f-sport-2023-5594387
Toyota Fortuner 2.5G - 2016,Toyota,2016,585,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5586806
Kia Seltos Premium 1.5 AT - 2024,Kia,2024,739,TP HCM,https://bonbanh.com/xe-kia-seltos-premium-1.5-at-2024-5527919
Ford EcoSport Titanium 1.5L AT - 2017,Ford,2017,385,TP HCM,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-5564840
Ford Tourneo Limousine 2.0 AT - 2020,Ford,2020,820,TP HCM,https://bonbanh.com/xe-ford-tourneo-limousine-2.0-at-2020-5592316
Mercedes Benz GLC 250 4Matic - 2019,Mercedes,2019,1188,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2019-5474949
Toyota Fortuner 2.7V 4x2 AT - 2017,Toyota,2017,740,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2017-5582999
Honda HRV G - 2024,Honda,2024,660,Hà Nội,https://bonbanh.com/xe-honda-hrv-g-2024-5276505
Hyundai Creta Đặc biệt 1.5 AT - 2024,Hyundai,2024,625,Hà Nội,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2024-5234851
Lexus GX 460 - 2014,Lexus,2014,2190,Hà Nội,https://bonbanh.com/xe-lexus-gx-460-2014-5594384
Ford EcoSport Titanium 1.5L AT - 2019,Ford,2019,465,TP HCM,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2019-5580476
Porsche Macan 2.0 - 2023,Porsche,2023,3640,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2023-5563735
Subaru Forester 2.0i-L - 2023,Subaru,2023,849,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-l-2023-5550937
Audi A6 45 TFSI - 2022,Audi,2022,1930,TP HCM,https://bonbanh.com/xe-audi-a6-45-tfsi-2022-5496599
Hyundai Palisade Exclusive 2.2 AT - 2023,Hyundai,2023,1374,TP HCM,https://bonbanh.com/xe-hyundai-palisade-exclusive-2.2-at-2023-5404573
Subaru Forester 2.0i-S EyeSight - 2023,Subaru,2023,969,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-s-eyesight-2023-5341093
Honda HRV G - 2024,Honda,2024,669,TP HCM,https://bonbanh.com/xe-honda-hrv-g-2024-4738993
Mitsubishi Triton 4x2 AT - 2023,Mitsubishi,2023,650,TP HCM,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2023-2930106
Mercedes Benz C class C180 AMG - 2021,Mercedes,2021,1019,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2021-5591536
Honda Civic 2.0 AT - 2007,Honda,2007,245,Hà Nội,https://bonbanh.com/xe-honda-civic-2.0-at-2007-5516965
Toyota Veloz Cross 1.5 CVT - 2022,Toyota,2022,595,Quảng Ninh,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5550059
Chevrolet Captiva LTZ 2.4 AT - 2007,Chevrolet,2007,179,Hải Dương,https://bonbanh.com/xe-chevrolet-captiva-ltz-2.4-at-2007-5405645
Lexus LX 600 Vip - 2023,Lexus,2023,10300,Hà Nội,https://bonbanh.com/xe-lexus-lx-600-vip-2023-5101232
Mitsubishi Outlander Premium 2.0 CVT - 2022,Mitsubishi,2022,783,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2022-5574721
Toyota Vios 1.5E - 2016,Toyota,2016,259,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5e-2016-5467409
Hyundai Accent 1.4 AT - 2024,Hyundai,2024,472,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-2024-3548111
Toyota Innova 2.0E - 2016,Toyota,2016,318,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0e-2016-4738088
Hyundai Kona 2.0 ATH - 2019,Hyundai,2019,505,Hải Phòng,https://bonbanh.com/xe-hyundai-kona-2.0-ath-2019-5546901
Toyota Vios 1.5G - 2019,Toyota,2019,438,TP HCM,https://bonbanh.com/xe-toyota-vios-1.5g-2019-5485221
Mercedes Benz S class S450 4Matic - 2024,Mercedes,2024,5039,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-2024-5423447
VinFast VF7 Eco - 2023,VinFast,2023,850,Hà Nội,https://bonbanh.com/xe-vinfast-vf7-eco-2023-5379551
VinFast VF9 Plus - 2023,VinFast,2023,1685,Hà Nội,https://bonbanh.com/xe-vinfast-vf9-plus-2023-4820102
